model,lr,hidden_size,batch_size,pooling_style,accuracy,time
gated_cnn,0.001,128,64,avg,0.8607172643869891,8.11288209999475
gated_cnn,0.001,128,64,max,0.871976647206005,8.926195600004576
gated_cnn,0.001,128,128,avg,0.8732276897414513,6.670918299998448
gated_cnn,0.001,128,128,max,0.8765638031693077,5.945579799998086
gated_cnn,0.0001,128,64,avg,0.8678065054211843,7.710631200003263
gated_cnn,0.0001,128,64,max,0.8853211009174312,8.032415099994978
gated_cnn,0.0001,128,128,avg,0.8653044203502919,5.633226199999626
gated_cnn,0.0001,128,128,max,0.8869891576313594,5.75751339999988
bert,0.001,128,64,avg,0.6784820683903253,433.7322196000023
bert,0.001,128,64,max,0.6784820683903253,432.53616789999796
bert,0.001,128,128,avg,0.6784820683903253,400.6336500000034
bert,0.001,128,128,max,0.6784820683903253,400.56972239999595
bert,0.0001,128,64,avg,0.8869891576313594,430.4849866999939
bert,0.0001,128,64,max,0.8765638031693077,430.49876270000095
bert,0.0001,128,128,avg,0.8824020016680567,400.8679226999957
bert,0.0001,128,128,max,0.8869891576313594,400.81040150000626
lstm,0.001,128,64,avg,0.8707256046705588,8.745904800001881
lstm,0.001,128,64,max,0.8686405337781484,8.738583199999994
lstm,0.001,128,128,avg,0.8603002502085071,6.847932900003798
lstm,0.001,128,128,max,0.8665554628857381,6.831108899998071
lstm,0.0001,128,64,avg,0.8653044203502919,8.766861700001755
lstm,0.0001,128,64,max,0.8698915763135947,8.797144700001809
lstm,0.0001,128,128,avg,0.8665554628857381,6.676656399999047
lstm,0.0001,128,128,max,0.8698915763135947,6.762304800002312
rnn,0.001,128,64,avg,0.8644703919933278,8.353750000002037
rnn,0.001,128,64,max,0.8611342785654712,8.105972800003656
rnn,0.001,128,128,avg,0.8707256046705588,6.084775000002992
rnn,0.001,128,128,max,0.8736447039199333,6.970673399999214
rnn,0.0001,128,64,avg,0.8644703919933278,9.671048299998802
rnn,0.0001,128,64,max,0.8715596330275229,8.098664400000416
rnn,0.0001,128,128,avg,0.8628023352793995,5.718456599999627
rnn,0.0001,128,128,max,0.8707256046705588,5.474467000000004
cnn,0.001,128,64,avg,0.8628023352793995,6.697999099997105
cnn,0.001,128,64,max,0.8678065054211843,6.762281299997994
cnn,0.001,128,128,avg,0.8628023352793995,4.973629300002358
cnn,0.001,128,128,max,0.8728106755629691,4.87369619999663
cnn,0.0001,128,64,avg,0.8557130942452044,6.62119900000107
cnn,0.0001,128,64,max,0.8853211009174312,6.704422099996009
cnn,0.0001,128,128,avg,0.8561301084236864,4.8635155000010855
cnn,0.0001,128,128,max,0.8807339449541285,4.909877400001278
gru,0.001,128,64,avg,0.8611342785654712,8.51893420000124
gru,0.001,128,64,max,0.8732276897414513,8.38117069999862
gru,0.001,128,128,avg,0.8619683069224353,5.913027699993108
gru,0.001,128,128,max,0.8703085904920768,5.888195799998357
gru,0.0001,128,64,avg,0.871976647206005,8.443363700003829
gru,0.0001,128,64,max,0.8769808173477899,8.352139800001169
gru,0.0001,128,128,avg,0.8711426188490409,5.879425999999512
gru,0.0001,128,128,max,0.8807339449541285,6.000251800003753
