model_type,learning_rate,hidden_size,batch_size,pooling_style,best_acc,best_loss
fast_text,0.001,128,128,avg,0.9073996829899057,0.1870780885219574
fast_text,0.001,128,128,max,0.9081504963710687,0.15031418204307556
fast_text,0.001,128,512,avg,0.8828731125385835,0.28376367688179016
fast_text,0.001,128,512,max,0.8501710186034871,0.2995164692401886
fast_text,0.0001,128,128,avg,0.817719195795445,0.4913369119167328
fast_text,0.0001,128,128,max,0.7938600150162676,0.4664382040500641
fast_text,0.0001,128,512,avg,0.7161925419204138,0.5814825296401978
fast_text,0.0001,128,512,max,0.7248686076582965,0.5830113291740417
gru,0.001,128,128,avg,0.9937432218236423,0.009800669737160206
gru,0.001,128,128,max,0.991907900225244,0.0146512221544981
gru,0.001,128,512,avg,0.9695503462083924,0.0833754688501358
gru,0.001,128,512,max,0.9724701760240261,0.0634557381272316
gru,0.0001,128,128,avg,0.9264202886460332,0.24653367698192596
gru,0.0001,128,128,max,0.9235004588303996,0.23774269223213196
gru,0.0001,128,512,avg,0.8947192792191541,0.3923290967941284
gru,0.0001,128,512,max,0.8985567698339868,0.3394147753715515
rnn,0.001,128,128,avg,0.9731375656961708,0.1240232065320015
rnn,0.001,128,128,max,0.99516142487695,0.019279608502984047
rnn,0.001,128,512,avg,0.9364311337282055,0.17177444696426392
rnn,0.001,128,512,max,0.9686326854091933,0.13668499886989594
rnn,0.0001,128,128,avg,0.9056477851005256,0.33246901631355286
rnn,0.0001,128,128,max,0.90764995411696,0.35423389077186584
rnn,0.0001,128,512,avg,0.8781179611245516,0.3544130325317383
rnn,0.0001,128,512,max,0.8782848085425878,0.29637858271598816
cnn,0.001,128,128,avg,0.9155752064736798,0.22519759833812714
cnn,0.001,128,128,max,0.9986652206557104,0.006375458557158709
cnn,0.001,128,512,avg,0.9072328355718695,0.245985209941864
cnn,0.001,128,512,max,0.9959956619671311,0.07000058889389038
cnn,0.0001,128,128,avg,0.8759489446900809,0.3956497013568878
cnn,0.0001,128,128,max,0.9243346959205806,0.25828617811203003
cnn,0.0001,128,512,avg,0.8414115291565863,0.4293331503868103
cnn,0.0001,128,512,max,0.8872945691165429,0.23548224568367004
gated_cnn,0.001,128,128,avg,0.9745557687494786,0.07491566985845566
gated_cnn,0.001,128,128,max,0.9987486443647284,0.008256053552031517
gated_cnn,0.001,128,512,avg,0.9351797780929341,0.17636874318122864
gated_cnn,0.001,128,512,max,0.9966630516392759,0.05017318204045296
gated_cnn,0.0001,128,128,avg,0.8869608742804705,0.2952900528907776
gated_cnn,0.0001,128,128,max,0.9339284224576625,0.1570873260498047
gated_cnn,0.0001,128,512,avg,0.8374071911237173,0.32277795672416687
gated_cnn,0.0001,128,512,max,0.889797280387086,0.3010704517364502
stack_gated_cnn,0.001,128,128,avg,0.992742137315425,0.022082597017288208
stack_gated_cnn,0.001,128,128,max,0.9989989154917828,0.06927289068698883
stack_gated_cnn,0.001,128,512,avg,0.9768916326019855,0.08784394711256027
stack_gated_cnn,0.001,128,512,max,0.9988320680737466,0.023543385788798332
stack_gated_cnn,0.0001,128,128,avg,0.9213314423959289,0.2984682619571686
stack_gated_cnn,0.0001,128,128,max,0.9503628931342287,0.1298079937696457
stack_gated_cnn,0.0001,128,512,avg,0.880954367231167,0.23927883803844452
stack_gated_cnn,0.0001,128,512,max,0.9131559189121549,0.24623414874076843
rcnn,0.001,128,128,avg,0.9406857428881288,0.23237121105194092
rcnn,0.001,128,128,max,0.9962459330941854,0.014179120771586895
rcnn,0.001,128,512,avg,0.9169099858179695,0.1902630776166916
rcnn,0.001,128,512,max,0.9766413614749312,0.07904929667711258
rcnn,0.0001,128,128,avg,0.8748644364728456,0.2709721624851227
rcnn,0.0001,128,128,max,0.9098189705514307,0.21846266090869904
rcnn,0.0001,128,512,avg,0.8471677650788354,0.3506688177585602
rcnn,0.0001,128,512,max,0.8738633519646284,0.2981060743331909
bert,0.001,128,128,avg,0.6663051639275882,0.6465669870376587
bert,0.001,128,128,max,0.3336948360724118,0.5907185673713684
bert,0.001,128,512,avg,0.6663051639275882,0.6526672840118408
bert,0.001,128,512,max,0.3336948360724118,0.6472395062446594
bert,0.0001,128,128,avg,0.994243764077751,0.0869024321436882
bert,0.0001,128,128,max,0.9971635938933845,0.049528226256370544
bert,0.0001,128,512,avg,0.9978309835655294,0.0036839917302131653
bert,0.0001,128,512,max,0.9986652206557104,0.015628399327397346
bert_lstm,0.001,128,128,avg,0.6663051639275882,0.5954726338386536
bert_lstm,0.001,128,128,max,0.6663051639275882,0.6895473599433899
bert_lstm,0.001,128,512,avg,0.6663051639275882,0.6628963351249695
bert_lstm,0.001,128,512,max,0.6663051639275882,0.6299316883087158
bert_lstm,0.0001,128,128,avg,0.8718611829481939,0.3518686294555664
bert_lstm,0.0001,128,128,max,0.8632685409193293,0.42778658866882324
bert_lstm,0.0001,128,512,avg,0.877617418870443,0.06981710344552994
bert_lstm,0.0001,128,512,max,0.9892383415366647,0.01133146695792675
bert_cnn,0.001,128,128,avg,0.6663051639275882,0.625614583492279
bert_cnn,0.001,128,128,max,0.6663051639275882,0.5716446042060852
bert_cnn,0.001,128,512,avg,0.6663051639275882,0.6548991799354553
bert_cnn,0.001,128,512,max,0.6663051639275882,0.6721846461296082
bert_cnn,0.0001,128,128,avg,0.9710519729707183,0.16725020110607147
bert_cnn,0.0001,128,128,max,0.9664636689747226,0.6269040107727051
bert_cnn,0.0001,128,512,avg,0.9941603403687328,0.1496165245771408
bert_cnn,0.0001,128,512,max,0.991073663135063,0.07055846601724625
bert_mid_layer,0.001,128,128,avg,0.6663051639275882,0.6653606295585632
bert_mid_layer,0.001,128,128,max,0.6663051639275882,0.659896194934845
bert_mid_layer,0.001,128,512,avg,0.6663051639275882,0.8277989029884338
bert_mid_layer,0.001,128,512,max,0.6663051639275882,0.6130375862121582
bert_mid_layer,0.0001,128,128,avg,0.9934929506965879,0.014832978136837482
bert_mid_layer,0.0001,128,128,max,0.9935763744056061,0.10426120460033417
bert_mid_layer,0.0001,128,512,avg,0.9815633603069992,0.020922349765896797
bert_mid_layer,0.0001,128,512,max,0.986985901393176,0.08941357582807541
lstm,0.001,128,128,avg,0.9857345457579044,0.025573454797267914
lstm,0.001,128,128,max,0.9876532910653207,0.06989989429712296
lstm,0.001,128,512,avg,0.9699674647534829,0.07010309398174286
lstm,0.001,128,512,max,0.970885125552682,0.076100654900074
lstm,0.0001,128,128,avg,0.9267539834821056,0.28145232796669006
lstm,0.0001,128,128,max,0.9272545257362143,0.15712906420230865
lstm,0.0001,128,512,avg,0.8943021606740635,0.2921893000602722
lstm,0.0001,128,512,max,0.8907983648953033,0.30466940999031067
